Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
644.093	419
644.12	449
644.146	445
644.173	439
644.2	473
644.227	609
644.253	727
644.28	499
644.307	451
644.334	468
644.36	455
644.387	518
644.414	769
644.44	517
644.467	461
644.494	451
644.521	437
644.547	450
644.574	441
644.601	447
644.627	440
644.654	434
644.681	451
644.708	461
644.734	456
644.761	439
644.788	429
644.814	455
644.841	448
644.868	419
644.894	432
644.921	431
644.948	441
644.975	426
645.001	421
645.028	444
645.055	460
645.081	427
645.108	435
645.135	447
645.161	441
645.188	436
645.215	436
645.242	433
645.268	435
645.295	443
645.322	413
645.348	423
645.375	449
645.402	446
645.428	446
645.455	430
645.482	452
645.508	441
645.535	425
645.562	465
645.589	445
645.615	430
645.642	412
645.669	438
645.695	442
645.722	454
645.749	428
645.775	453
645.802	435
645.829	430
645.855	428
645.882	431
645.909	426
645.935	437
645.962	427
645.989	451
646.015	414
646.042	441
646.069	443
646.095	427
646.122	442
646.149	436
646.175	425
646.202	453
646.229	423
646.255	457
646.282	446
646.309	431
646.335	451
646.362	438
646.389	427
646.415	441
646.442	431
646.469	427
646.495	422
646.522	437
646.549	416
646.575	434
646.602	420
646.629	430
646.655	444
646.682	420
646.709	446
646.735	446
646.762	443
646.789	445
646.815	443
646.842	429
646.868	435
646.895	453
646.922	432
646.948	439
646.975	422
647.002	434
647.028	443
647.055	422
647.082	434
647.108	462
647.135	445
647.161	441
647.188	445
647.215	443
647.241	435
647.268	459
647.295	448
647.321	432
647.348	439
647.375	433
647.401	435
647.428	461
647.454	449
647.481	425
647.508	444
647.534	444
647.561	409
647.588	440
647.614	431
647.641	453
647.667	439
647.694	435
647.721	424
647.747	443
647.774	434
647.801	434
647.827	433
647.854	447
647.88	411
647.907	441
647.934	435
647.96	445
647.987	424
648.013	432
648.04	436
648.067	432
648.093	420
648.12	444
648.146	457
648.173	440
648.2	419
648.226	429
648.253	451
648.28	441
648.306	426
648.333	446
648.359	435
648.386	422
648.413	423
648.439	443
648.466	445
648.492	438
648.519	443
648.545	433
648.572	423
648.599	458
648.625	434
648.652	428
648.678	443
648.705	454
648.732	438
648.758	441
648.785	429
648.811	448
648.838	423
648.865	433
648.891	423
648.918	447
648.944	421
648.971	427
648.997	427
649.024	436
649.051	438
649.077	412
649.104	449
649.13	421
649.157	428
649.184	430
649.21	429
649.237	451
649.263	422
649.29	433
649.316	447
649.343	430
649.37	461
649.396	414
649.423	429
649.449	435
649.476	419
649.502	429
649.529	418
649.556	462
649.582	428
649.609	453
649.635	444
649.662	441
649.688	435
649.715	422
649.741	435
649.768	457
649.795	437
649.821	439
649.848	454
649.874	445
649.901	432
649.927	439
649.954	437
649.98	423
650.007	443
650.034	448
650.06	443
650.087	451
650.113	424
650.14	427
650.166	426
650.193	462
650.219	477
650.246	454
650.272	436
650.299	430
650.326	454
650.352	457
650.379	456
650.405	469
650.432	436
650.458	450
650.485	446
650.511	454
650.538	431
650.564	439
650.591	432
650.617	427
650.644	433
650.67	430
650.697	440
650.724	452
650.75	422
650.777	431
650.803	435
650.83	451
650.856	446
650.883	416
650.909	451
650.936	441
650.962	437
650.989	435
651.015	430
651.042	421
651.068	430
651.095	438
651.121	445
651.148	440
651.174	428
651.201	435
651.227	433
651.254	425
651.28	421
651.307	453
651.333	447
651.36	434
651.387	446
651.413	468
651.44	435
651.466	434
651.493	426
651.519	425
651.546	421
651.572	443
651.599	433
651.625	441
651.652	435
651.678	449
651.705	434
651.731	466
651.758	433
651.784	454
651.811	447
651.837	412
651.864	437
651.89	434
651.917	419
651.943	422
651.969	426
651.996	442
652.022	432
652.049	432
652.075	441
652.102	453
652.128	419
652.155	456
652.181	439
652.208	426
652.234	445
652.261	434
652.287	438
652.314	449
652.34	434
652.367	435
652.393	441
652.42	409
652.446	431
652.473	439
652.499	431
652.526	441
652.552	441
652.579	451
652.605	430
652.632	446
652.658	432
652.684	444
652.711	444
652.737	421
652.764	427
652.79	459
652.817	416
652.843	457
652.87	451
652.896	442
652.923	463
652.949	456
652.976	414
653.002	420
653.028	445
653.055	440
653.081	435
653.108	462
653.134	430
653.161	444
653.187	431
653.214	444
653.24	444
653.267	430
653.293	434
653.319	450
653.346	432
653.372	438
653.399	427
653.425	437
653.452	455
653.478	439
653.505	446
653.531	427
653.557	437
653.584	427
653.61	427
653.637	440
653.663	435
653.69	443
653.716	438
653.743	434
653.769	418
653.795	444
653.822	445
653.848	465
653.875	429
653.901	447
653.928	434
653.954	443
653.98	455
654.007	459
654.033	425
654.06	435
654.086	440
654.113	450
654.139	443
654.165	426
654.192	441
654.218	441
654.245	429
654.271	444
654.298	444
654.324	429
654.35	449
654.377	431
654.403	435
654.43	438
654.456	435
654.482	449
654.509	435
654.535	434
654.562	437
654.588	436
654.615	415
654.641	455
654.667	409
654.694	438
654.72	415
654.747	446
654.773	430
654.799	438
654.826	441
654.852	431
654.879	441
654.905	473
654.931	433
654.958	470
654.984	434
655.011	430
655.037	414
655.063	454
655.09	436
655.116	415
655.143	426
655.169	455
655.195	437
655.222	430
655.248	421
655.275	448
655.301	445
655.327	440
655.354	453
655.38	433
655.406	420
655.433	437
655.459	441
655.486	431
655.512	427
655.538	435
655.565	447
655.591	449
655.618	414
655.644	443
655.67	422
655.697	434
655.723	454
655.749	433
655.776	433
655.802	436
655.829	430
655.855	418
655.881	430
655.908	419
655.934	445
655.96	430
655.987	454
656.013	419
656.04	418
656.066	436
656.092	429
656.119	421
656.145	438
656.171	444
656.198	425
656.224	453
656.25	455
656.277	483
656.303	474
656.33	435
656.356	434
656.382	454
656.409	443
656.435	460
656.461	479
656.488	461
656.514	446
656.54	423
656.567	443
656.593	428
656.619	433
656.646	459
656.672	442
656.698	458
656.725	440
656.751	438
656.777	425
656.804	435
656.83	429
656.857	443
656.883	419
656.909	465
656.936	447
656.962	442
656.988	451
657.015	459
657.041	420
657.067	434
657.094	439
657.12	430
657.146	422
657.173	433
657.199	449
657.225	449
657.252	429
657.278	451
657.304	442
657.331	438
657.357	441
657.383	431
657.41	417
657.436	442
657.462	449
657.488	438
657.515	441
657.541	431
657.567	441
657.594	452
657.62	424
657.646	441
657.673	451
657.699	440
657.725	448
657.752	417
657.778	420
657.804	447
657.831	438
657.857	429
657.883	461
657.91	447
657.936	428
657.962	433
657.988	434
658.015	431
658.041	416
658.067	442
658.094	448
658.12	430
658.146	423
658.173	453
658.199	445
658.225	435
658.251	435
658.278	430
658.304	422
658.33	433
658.357	434
658.383	422
658.409	425
658.436	429
658.462	446
658.488	439
658.514	449
658.541	444
658.567	437
658.593	459
658.62	424
658.646	437
658.672	443
658.698	438
658.725	428
658.751	426
658.777	418
658.804	429
658.83	446
658.856	415
658.882	449
658.909	467
658.935	440
658.961	438
658.988	436
659.014	450
659.04	454
659.066	420
659.093	422
659.119	422
659.145	437
659.171	431
659.198	438
659.224	437
659.25	436
659.277	436
659.303	443
659.329	437
659.355	431
659.382	444
659.408	414
659.434	454
659.46	439
659.487	436
659.513	421
659.539	440
659.565	444
659.592	439
659.618	443
659.644	445
659.67	442
659.697	421
659.723	426
659.749	440
659.775	441
659.802	440
659.828	427
659.854	436
659.88	437
659.907	432
659.933	425
659.959	429
659.985	437
660.012	435
660.038	433
660.064	437
660.09	438
660.117	443
660.143	441
660.169	438
660.195	425
660.222	437
660.248	421
660.274	440
660.3	431
660.327	436
660.353	454
660.379	435
660.405	439
660.432	422
660.458	437
660.484	431
660.51	439
660.536	459
660.563	442
660.589	448
660.615	431
660.641	423
660.668	411
660.694	422
660.72	430
660.746	440
660.772	444
660.799	443
660.825	433
660.851	439
660.877	443
660.904	444
660.93	430
660.956	441
660.982	458
661.008	436
661.035	444
661.061	459
661.087	436
661.113	445
661.14	425
661.166	433
661.192	433
661.218	425
661.244	446
661.271	411
661.297	445
661.323	451
661.349	437
661.375	435
661.402	428
661.428	430
661.454	440
661.48	428
661.506	434
661.533	449
661.559	441
661.585	450
661.611	443
661.637	441
661.664	435
661.69	443
661.716	444
661.742	453
661.768	439
661.795	433
661.821	443
661.847	428
661.873	434
661.899	437
661.925	434
661.952	446
661.978	413
662.004	445
662.03	435
662.056	431
662.083	427
662.109	425
662.135	441
662.161	449
662.187	427
662.213	422
662.24	424
662.266	421
662.292	445
662.318	437
662.344	445
662.371	449
662.397	429
662.423	475
662.449	475
662.475	437
662.501	440
662.528	454
662.554	423
